,question_sent_count,question_tok_count,label,question_modality_strong,question_modality_weak,question_uncertainty,question_positive,question_negative
363,10,155,1,0,0.01290322580645161,0.01290322580645161,0.01290322580645161,0.01290322580645161
364,1,31,0,0,0,0,0,0.03225806451612903
365,4,58,1,0,0.06896551724137931,0.01724137931034483,0.03448275862068966,0
366,8,88,1,0,0.01136363636363636,0,0.01136363636363636,0.02272727272727273
367,10,161,1,0,0.03105590062111801,0,0.006211180124223602,0.03105590062111801
368,2,48,0,0,0,0.02083333333333333,0,0.02083333333333333
369,3,44,0,0,0,0,0.02272727272727273,0.02272727272727273
370,9,40,1,0.025,0.025,0,0.025,0
371,8,70,1,0,0.01428571428571429,0.01428571428571429,0.01428571428571429,0
372,4,43,0,0,0,0,0.02325581395348837,0.02325581395348837
373,5,95,1,0.01052631578947368,0.02105263157894737,0.02105263157894737,0,0.02105263157894737
374,5,81,1,0,0.02469135802469136,0,0.02469135802469136,0.01234567901234568
375,2,54,1,0,0.01851851851851852,0,0,0.01851851851851852
376,6,95,0,0,0,0,0.01052631578947368,0.01052631578947368
377,10,96,0,0,0,0,0,0
378,5,85,0,0.01176470588235294,0,0.01176470588235294,0.03529411764705882,0.01176470588235294
379,8,89,1,0.01123595505617978,0.04494382022471910,0,0.01123595505617978,0.02247191011235955
380,4,37,0,0,0,0,0.02702702702702703,0.02702702702702703
381,7,76,0,0,0,0.01315789473684211,0.01315789473684211,0.01315789473684211
382,3,74,0,0,0,0,0,0
383,5,48,0,0,0,0,0.02083333333333333,0.02083333333333333
384,5,75,0,0,0,0,0.02666666666666667,0.01333333333333333
385,5,91,1,0,0.04395604395604396,0.01098901098901099,0.02197802197802198,0.01098901098901099
386,2,55,1,0,0.01818181818181818,0.01818181818181818,0.01818181818181818,0
387,2,27,0,0.03703703703703704,0,0,0.1111111111111111,0
388,2,12,0,0,0,0,0.08333333333333333,0
389,1,5,0,0,0,0,0,0
390,2,16,0,0.0625,0,0,0.0625,0
391,9,96,1,0,0.03125,0,0.03125,0
392,5,47,0,0,0,0.02127659574468085,0,0.04255319148936170
393,5,46,0,0,0,0,0.02173913043478261,0.04347826086956522
394,9,133,1,0,0.007518796992481203,0.007518796992481203,0,0.03759398496240602
395,4,35,0,0,0,0,0,0.02857142857142857
396,6,110,0,0,0,0.02727272727272727,0,0
397,4,66,0,0,0,0.01515151515151515,0.01515151515151515,0
398,10,93,1,0.02150537634408602,0.01075268817204301,0,0.01075268817204301,0.02150537634408602
399,2,17,0,0.05882352941176471,0,0,0,0
400,6,72,0,0,0,0.01388888888888889,0.02777777777777778,0.01388888888888889
401,4,63,1,0,0.03174603174603175,0.01587301587301587,0.01587301587301587,0
402,5,70,0,0,0,0,0.04285714285714286,0
403,2,83,1,0.01204819277108434,0.04819277108433735,0.01204819277108434,0.01204819277108434,0
404,5,79,0,0,0,0.03797468354430380,0.03797468354430380,0.01265822784810127
405,4,99,1,0,0.01010101010101010,0,0.01010101010101010,0
406,5,95,0,0,0,0.01052631578947368,0.01052631578947368,0.01052631578947368
407,2,16,0,0.0625,0,0,0,0
408,5,62,1,0,0.01612903225806452,0,0.01612903225806452,0.04838709677419355
409,10,135,1,0,0.02962962962962963,0,0.01481481481481481,0.007407407407407407
410,6,125,1,0.008,0.008,0.008,0.016,0.008
411,1,12,0,0,0,0,0,0
